chave_curva,chave_familia,codigo_fipe,marca,modelo,ano_modelo,combustivel,data_referencia,mes_referencia,preco_nominal,tipo,valor_fipe,codigo_marca,codigo_modelo,codigo_ano,origem
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2024-08,agosto/2024,275862.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2024-09,setembro/2024,274105.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2024-10,outubro/2024,264511.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2024-11,novembro/2024,271293.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2024-12,dezembro/2024,262974.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-01,janeiro/2025,253769.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-02,fevereiro/2025,260484.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-03,março/2025,258138.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-04,abril/2025,252096.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-05,maio/2025,248681.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-06,junho/2025,251234.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2025-07,julho/2025,249573.000000,usado,,,,,
